model,dataset_split_method,seed,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr,specificity_macro,total_params,quantum_parameters,qubits,circuit_depth,training_time_sec,inference_time_sec
simple_cnn,patient_level,42,0.4166666666666667,0.25,0.41666666666666663,0.29166666666666663,0.2916666666666667,0.8125,0.8055555555555556,24068,0,0,0,1.4699053764343262,0.055887460708618164
resnet18,patient_level,42,0.75,0.8506493506493507,0.7500000000000001,0.7059411177058236,0.7059411177058236,0.9328703703703705,0.9166666666666667,11178564,0,0,0,7.631420135498047,0.1862485408782959
mobilenet_v2,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.43865740740740744,0.75,2228996,0,0,0,5.194533824920654,0.10357427597045898
classical_proposed,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.5208333333333333,0.75,2265340,0,0,0,4.940664529800415,0.1143040657043457
hybrid,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.5208333333333333,0.75,2244520,8,4,4,5.190563440322876,0.12236833572387695
simple_cnn,patient_level,42,0.4583333333333333,0.26041666666666663,0.45833333333333337,0.32154882154882153,0.32154882154882153,0.8153935185185186,0.8194444444444444,24068,0,0,0,16.559264659881592,10.959996461868286
hybrid,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.5104166666666667,0.75,2244520,8,4,4,94.13050484657288,0.7927520275115967
simple_cnn,patient_level,42,0.4583333333333333,0.26041666666666663,0.45833333333333337,0.32154882154882153,0.32154882154882153,0.8148148148148149,0.8194444444444444,24068,0,0,0,7.785165548324585,0.1361560821533203
resnet18,patient_level,42,0.75,0.7455357142857143,0.75,0.7403846153846154,0.7403846153846153,0.8993055555555555,0.9166666666666667,11178564,0,0,0,24.265223741531372,0.34351015090942383
mobilenet_v2,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.4852430555555555,0.75,2228996,0,0,0,19.69524621963501,0.3109316825866699
classical_proposed,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.5,0.75,2265340,0,0,0,14.629758834838867,0.32802748680114746
hybrid,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.48611111111111116,0.75,2244520,8,4,4,23.648054361343384,0.4470992088317871
